"","Stn.Id","landsat_date","mid_dt","Latitude","Longitude","ECOSTRESS","dt","date","Air_Temp","Location","Band1","Band2","Band3","Band4","Band5","Band6","Band7"
"1","105",2018-07-12,2018-07-15 06:30:00,36.634028,-120.38181,23.15,2018-07-15 06:58:27,2018-07-15,24,"Westlands",0.2953,0.2936,0.3395,0.3607,0.4281,0.4151,0.3638
"2","105",2018-07-12,2018-07-15 23:30:00,36.634028,-120.38181,25.13,2018-07-15 23:36:14,2018-07-15,25.7,"Westlands",0.2953,0.2936,0.3395,0.3607,0.4281,0.4151,0.3638
"3","105",2018-07-28,2018-07-22 04:30:00,36.634028,-120.38181,19.43,2018-07-22 04:06:46,2018-07-22,20.8,"Westlands",0.0583,0.0813,0.1303,0.1495,0.3371,0.2963,0.1806
"4","105",2018-07-28,2018-07-22 20:30:00,36.634028,-120.38181,31.43,2018-07-22 20:44:16,2018-07-22,30.9,"Westlands",0.0583,0.0813,0.1303,0.1495,0.3371,0.2963,0.1806
"5","105",2018-07-28,2018-07-25 03:30:00,36.634028,-120.38181,18.49,2018-07-25 03:06:47,2018-07-25,22.6,"Westlands",0.0583,0.0813,0.1303,0.1495,0.3371,0.2963,0.1806
"6","105",2018-07-28,2018-07-29 01:30:00,36.634028,-120.38181,21.63,2018-07-29 01:15:24,2018-07-29,26.55,"Westlands",0.0583,0.0813,0.1303,0.1495,0.3371,0.2963,0.1806
"7","105",2018-08-13,2018-08-14 18:30:00,36.634028,-120.38181,36.43,2018-08-14 18:35:02,2018-08-14,31.5,"Westlands",0.0483,0.0686,0.1181,0.1223,0.3502,0.271,0.1635
"8","105",2018-08-13,2018-08-15 11:30:00,36.634028,-120.38181,47.69,2018-08-15 11:13:25,2018-08-15,29.6,"Westlands",0.0483,0.0686,0.1181,0.1223,0.3502,0.271,0.1635
"9","105",2018-08-13,2018-08-20 16:30:00,36.634028,-120.38181,40.65,2018-08-20 16:35:51,2018-08-20,36.8,"Westlands",0.0483,0.0686,0.1181,0.1223,0.3502,0.271,0.1635
"10","105",2018-08-29,2018-08-22 08:30:00,36.634028,-120.38181,22.85,2018-08-22 08:22:38,2018-08-22,20,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"11","105",2018-08-29,2018-08-24 14:30:00,36.634028,-120.38181,48.75,2018-08-24 14:44:17,2018-08-24,30.5,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"12","105",2018-08-29,2018-08-25 07:30:00,36.634028,-120.38181,16.77,2018-08-25 07:22:23,2018-08-25,19.6,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"13","105",2018-08-29,2018-08-28 06:30:00,36.634028,-120.38181,12.85,2018-08-28 06:22:54,2018-08-28,15.8,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"14","105",2018-08-29,2018-08-31 11:30:00,36.634028,-120.38181,42.05,2018-08-31 11:53:26,2018-08-31,26.9,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"15","105",2018-08-29,2018-09-03 10:30:00,36.634028,-120.38181,42.09,2018-09-03 10:53:57,2018-09-03,30.2,"Westlands",0.0252,0.047,0.0994,0.1032,0.3679,0.2491,0.1457
"16","105",2018-09-14,2018-09-08 01:30:00,36.634028,-120.38181,20.0700000000001,2018-09-08 01:40:26,2018-09-08,23.5,"Westlands",0.0314,0.0484,0.0958,0.101,0.3652,0.2293,0.1441
"17","105",2018-09-14,2018-09-13 07:30:00,36.634028,-120.38181,8.13,2018-09-13 07:03:49,2018-09-13,16.3,"Westlands",0.0314,0.0484,0.0958,0.101,0.3652,0.2293,0.1441
"18","105",2018-09-14,2018-09-13 23:30:00,36.634028,-120.38181,14.49,2018-09-13 23:42:14,2018-09-13,14.7,"Westlands",0.0314,0.0484,0.0958,0.101,0.3652,0.2293,0.1441
"19","105",2018-09-14,2018-09-20 04:30:00,36.634028,-120.38181,11.71,2018-09-20 04:12:58,2018-09-20,12.8,"Westlands",0.0314,0.0484,0.0958,0.101,0.3652,0.2293,0.1441
"20","105",2018-09-14,2018-09-20 20:30:00,36.634028,-120.38181,19.41,2018-09-20 20:51:22,2018-09-20,20.6,"Westlands",0.0314,0.0484,0.0958,0.101,0.3652,0.2293,0.1441
